symbol,first_pt,consensus_pt,analysis_date,analysis_price,summary,updated_at,analyst_id,quintile_id,price,last_price,buy_price,consensus_upside,first_upsdie,weight
AAAA,0.00,0.00,2021-03-14,0.00,"3/20/21 : Cash M, burn M. '\n''\n'CATALYSTS:'\n''\n'VALUATION: '\n'2021 EPS avg '\n'price '\n'fwd PE x'\n''\n'LIQUIDITY:'\n'as of 9/30/20'\n'current debt M'\n'long-term debt M'\n'
SEASONALITY:'\n''\n'SUMMARY:'\n''\n'EVENTS:'\n''\n'PIPELINE:'\n''\n'GLOSSARY:'\n''\n'SOURCES:'\n''\n''\n'",,3,6,0.00,0.00,0,0,0,0.00
AAAZ,0.00,0.00,2019-04-19,0.00,"1/25/21 : Cash , burn .'\n''\n''\n'CATALYSTS:'\n''\n''\n'VALUATION:'\n''\n''\n'2021 EPS avg'\n'price'\n'fwd PE'\n''\n''\n'LIQUIDITY:'\n'as of 9/30/20'\n'current debt M'\n'long-term debt M'\n''\n''\n'SEASONALITY:'\n''\n''\n'SUMMARY:'\n''\n''\n'EVENTS:'\n''\n''\n'PIPELINE:'\n''\n''\n'GLOSSARY:'\n''\n''\n'SOURCES:",,3,6,0.00,0.00,0,0,0,0.00
AABA,7.00,0.00,2021-03-14,0.00,,,3,6,19.64,0.00,0,0,0,0.00
AAOI,50.01,60.00,2017-11-12,176.00,"8/6/20 AAOI QR: The new 125M purchase agreement with FB (2/21/18) is a good sign, as it diversifies revenue away from AMZN (previously 40%). The surge in 2018 capex to begin construction on a factory in China is also a validation that the company anticipates strong demand for network optical equipment, as customers continue with the 40G to 100G buildout. They have a habit of missing on earnings, but the forward PE of 10 is attractive for a soon-to-be high growth tech stock. Buy. '\n'
CATALYSTS: new customer announcements

VALUATION:'\n'2021 EPS avg -0.24'\n'price 16.37'\n'fwd PE NA

Summary: AAOI is an optical communications equipment maker that supplies fiber equipment to datacenter and cable TV customers. Because of the confidentiality agreements their customers require, its difficult to get a sense of how quickly the shift to 100G is occurring, but management has indicated that we should expect more 100G orders than 40G going forward.'\n''\n'EVENTS:'\n''\n'5/8/18: -10%. 1Q18 missed on both top and bottom line. A large number of workers did not return after the Chinese New Year (which is common), and some orders were not able to be filled. But they did get 9 new design wins (5 in 100G), and expect a strong 2H18.

1Q18 
Revs 65M, -32% YOY
Adj net income 5.6M, EPS 0.28, -73%

2Q18 guidance
Revs 75-81M
Gross margin 39.5-41%
adj net income 7.8-10.4M, EPS 0.39-0.52
WASO 20M'\n'
2/21/18: 4Q17 revs 80M, -6% YOY. Non-GAAP net income 18M, EPS 0.89. Saw lower demand from datacenter customers as they continue to evolve their network architectures. Anticipate 1Q18 inventory headwinds from one customer, and typical seasonality due to fewer production days in China given Lunar New Year. Its a good sign that they were able to maintain decent margins of 40% vs 38% even though revenue was lower. 

1Q18 guidance: revs 67-71M, non-GAAP gross margin 41%, non-GAAP net income 6M. 

***Simultaneously announce a purchase agreement with FB for 125M of optical communication equipment in 2018, and expect FB to make a forecast for equipment needs for 2019 and 2020.

11/7/17: 3Q earnings saw 9 design wins, including 3 for 100G products. A good sign as they try and diversify away from Amazon, which is 50% of revenue. Revs 89M, +27% YOY. Net income 19M. 4Q guidance of 81-90M, non-GAAP net income 16.6M  19.5M.

10/12/17: 3Q 2017 prelim earnings revenue down to 89M from 111M, net income down to 19M from 28M. Mainly due to lower than expected sales to one datacenter customer. This customer was 10% of total revenue vs 47% last quarter. Based on conversations with customer management believes disruption is caused from transition from 40G to 100G and nothing to do with AAOI. Also does not believe any inventory impairment will occur. Remain in active qualification for new 100G and 200G products with customers outside of core customer base. At midpoint of lowered revenue range, still grew 26% YOY. Assuming ""large customer"" refers to Amazon, even though Amazon revenue was down from 47% to 10% for the quarter, still managed almost 90M, with net income of 20M. For the year that would be 80M net income, so forward PE would be 12. Not a screaming buy based on PE, but this is a consistently profitable tech company gearing up for a structural shift from 40G to 100/200G in the datacenter industry that is coming. Also only 23M in debt. Still think it is a buy but weight is already high so not sure about adding to position.'\n''\n''\n'",,3,6,16.48,0.00,0,0,0,0.00
AAP,122.63,0.00,2017-12-26,100.00,"AAP THESIS: After trading in unison with OReillys (ORLY) and Autozone (AZO) for years, it had recently diverged, but has recently closed the gap. The turnaround is going well, but the compelling buying opportunity has passed. Pass.

CATALYSTS: earning

VALUATION: PT 122.63 (consensus) see spreadsheet			

SUMMARY:

EVENTS:'\n''\n''\n'5/22/18: -2%. 1Q18 showed continued improvement in comps stabilization and operating income. Guidance reaffirmed. But the market is a bit worried about AAP being able to meet 2018 comps guidance of flat to +2%, given that comps were still negative this quarter and management would only say that 2Q18 is going well (but would not give guidance). Also, competitors are showing better comps just due to the broader market growth right now. '\n''\n'1Q18'\n'Revs 2.9B, -0.7% YOY'\n'adj net income 156M, EPS 2.10, +31%'\n'comps -0.8% vs -2.7%

2/21/18: 4Q17 revs 2B, -2% YOY. Adjusted EPS 0.77 (excludes tax benefit). Entering second year of transformation, they continue to close performance gap with the rest of the industry. Comps (2.6%). Gross margin decreased due to increased supply chain costs, but SGA as a % of sales improved.",,3,6,147.33,3.00,0,0,0,0.00
AAVVF,3.15,3.15,2017-11-18,5.50,"AAVVF QR: Cash 25M, pos. All Canadian natural gas producers have been pushed down, primarily because of the drop in the AECO price (Alberta gas index). Pipelines are operating at max capacity, with a shortage of new construction and maintenance work exacerbating the problem. AAV is seeing strong cashflow and is currently profitable, but their good cashflow is aided in large part by their excellent hedging results. They have already said they will be lowering natural gas production in 2018 in response to low price periods and to preserve dry gas productivity for higher price periods, shifting resources towards liquid drilling. But this will be a slow process. The forward PE does not make this compelling. Neither does the fact that they are funding capex with debt, as adj funds flow has been less than capex for two quarters now. Pass.

CATALYSTS: AECO price (Canadian natural gas)

VALUATION: consensus 5 (6). Eric 3.15 (price on 7/9/18).'\n''\n'2019 EPS avg 0.12 (+300%)'\n'current price 2.50'\n'forward PE 21'\n''\n''\n'LIQUIDITY: Credit 131M. '\n''\n''\n'SEASONALITY: With the reduction in maintenance and restrictions as we progress through the winter season, we would expect the market to be better balanced with less price volatility, albeit at Alberta natural gas prices lower than is typical of winter. '\n''\n''\n'SUMMARY: There was a very bullish article on SA published in October 2017 pointing out that AAV cash flow was excellent. However, much of that comes from favorable hedging/netback results. They are one of the most profitable Canadian producers (due to all assets being close to each other), and have chosen to lower debt instead of pay a dividend. But the outlook for the AECO price recovery in the near future is not good (2). Peers PEYTO and TRMLF have also been on a downtrend. '\n''\n'EVENTS:'\n''\n''\n'11/1/18: Up. 3Q18 saw an initial jump in the stock price, probably because earnings showed an uptick in production. But with adj funds flow of 32M and capex of 48M, capex is still being funded with debt.'\n'revs 58M vs 52M (includes hedging)'\n'net income -8M'\n''\n'8/3/18: -3%. 2Q18 saw revs decline 30%, due in large part to the 58% decline in the price of AECO. Management continues to say that resources will be shifted away from natural gas drilling to liquid drilling. But this quarter their FFO of 23M didnt even cover capex of 26M.'\n''\n'5/3/18: 1Q18 exceeded production guidance and saw record FFO. Will be lowering natural gas production in response to low AECO price periods and the extended Glacier plant outage which occurred in 2Q18. Strong cash flow of $48.9 million ($0.26/share) and net income of $10.1 million ($0.05/share) during the first quarter of 2018. Cash flow was supported by the Corporation\'s proactive marketing strategy which included $18.1 million from hedging gains and enhanced netbacks from natural gas sales at Dawn, Ontario.'\n''\n'1Q18'\n'Revs 73M, +0.6%'\n'FFO  49M, 0.26'\n''\n''\n'2Q18 guidance'\n'production 205-215 mmcfe/d'\n'liquids production 950-1150 bbls/d'\n'higher per unit corporate cash costs 1.35-1.45/mcfe (due to lower production)'\n''\n''\n'2018 guidance'\n'production 240-255 mcfe/d'\n'liquids production 1800 bbls/d'\n'year-end exit rate 2400 bbls/d'\n'per unit corporate cash costs 1.10-1.30/mcfe'\n'capex 175M (60% invested during 1H18) 

3/6/18: +10% 4Q17. Revs 71M, +8% YOY. Net income 21M, EPS 0.12. 2017 revs 260M vs 215M, net income 95M, EPS 0.51. Excluding unrealized gains on derivatives of 17M and 73M for the quarter and year, adjusted net income is 4M and 22M, respectively.

Results driven by strong operating results and drilling successes, which now include first liquid wells at Wembley and Progress, Alberta. These results extend and confirm the inventory beyond the liquids rich Middle Montney formation at Glacier. Industry leading low total cash costs of 0.88/mcfe (5.28/boe).

2018 guidance
Slight reduction in production volumes in 2Q18 followed by continued increase for 2H18 

11/2/17: 3Q good. Revs 52M only down 9% YOY. Cash flow was 37M, and 140M for the nine months, +21% YOY. Net income 10M.'\n''\n''\n'SOURCES:'\n''\n''\n'1. https://seekingalpha.com/article/4113573-advantage-oil-gas-mr-market-lost-mind'\n''\n''\n'2. https://www.cbc.ca/news/business/gmp-firstenergy-martin-king-aeco-gas-1.4489467",,3,6,2.50,1.73,0,0,0,0.00
ABEO,0.00,0.00,2020-06-25,2.94,"9/28/20 ABEO QR: ABEO is a gene and cell therapy biotech focused on rare diseases. Lead candidate EB-101 has demonstrated very good skin wound healing results for DEB in long-term phase 2 data and will likely see success for phase 3. However, competitor KRYSs B-VEC has also demonstrated very good phase 2 skin wound healing results that just might be a bit better than ABEO. The rest of ABEOs candidates are too early stage to value. Pass.

CATALYSTS:

VALUATION: 

LIQUIDITY:

SEASONALITY:

SUMMARY:

EVENTS:'\n''\n''\n'9/28/20 BO: -38%. CEO and several Board members resign. No director gave any reason for their resignation and no director indicated any disagreements with the Company. Pass.'\n''\n''\n'2H18: Drift down from $20/share. Market fatigue, trial delays, advancement of competitor KRYSs candidate for DEB, etc. 

2H17: Huge rise to $20/share. Seems like an exaggerated move, as there were no data readouts. The stock was simply responding to analyst upgrades and Orphan Drug designation announcements.

PIPELINE:

GLOSSARY:
DEB: Dystrophic Epidermolysis Bullosa
RDEB: Recessive DEB

SOURCES:",,3,6,1.15,1.15,0,0,0,0.00
ABMD,0.00,0.00,2018-11-14,313.00,"6/2/20 ABMD QR: (SA undercovered). ABMD is a medtech company with a first-of-its-kind (and still the only FDA-approved) heart pump product called Impella. The stock did extremely well up until the fall of 2018 as sales of Impella ramped up to over $800M per year. Since hitting $400/share, however, sales growth has declined. This is likely related to a pair of studies claiming that bleeding rates and patient outcomes are worse with Impella than with much cheaper legacy, lower-tech devices such as IABPs. ABMD has countered that the studies were flawed due to a much sicker patient pool and is running additional trials to clear up the confusion. With market penetration of only 20% or less across the Western world, there is still considerable room to grow (2, slide 45). But its still unclear how high of a market share they will capture given the unanswered questions over Impella. Pass.

CATALYSTS: 

VALUATION: 

FY2022 EPS avg 4.83 (+43%)
Price 230.89
Fwd PE 48x

LIQUIDITY:

SEASONALITY:

SUMMARY:

EVENTS:

8/1/19 BO: -28%. 2Q20. Lowers revs guidance to $885M - 925M from $900M - 945M. 

End 2018: Stock begins to decline due to a pair of studies presented at AHA meeting. The studies concluded that use of Impella causes more bleeding and worse outcomes for patients compared with legacy lower-tech devices such as IABPs (1). ABMD countered that the patients involved in this study had much poorer health compared with its own studies, and is running additional trials to clear up the confusion.

2015  fall 2018: +1,200%. Sales of first-of-its-kind heart pump Impella ramped up to over $800M per year.  

PIPELINE:

GLOSSARY:
AHA: American Heart Association
IABP: intra-aortic balloon pump

SOURCES:
1. https://seekingalpha.com/news/3520136-abiomed-down-9-on-study-questioning-value-of-impella-heart-pump
2. January 2020 presentation: http://investors.abiomed.com/static-files/01024433-dcaf-4eb3-821d-b99ab8197dd9",,3,6,292.73,313.00,0,0,0,0.00
ABUS,0.00,0.00,2019-10-07,0.92,ABUS QR: All candidates are phase 1 or below. Pass.'\n''\n''\n'CATALYSTS:'\n''\n''\n'VALUATION:'\n''\n''\n'LIQUIDITY:'\n''\n''\n'SEASONALITY:'\n''\n''\n'SUMMARY:'\n''\n''\n'EVENTS:'\n''\n'10/3/19 AH: -30%. Discontinues AB-506 for hepatitis B. '\n''\n'PIPELINE:'\n''\n''\n'GLOSSARY:'\n''\n''\n'AS: Angelman Syndrome'\n''\n''\n'SOURCES:,,3,6,4.90,0.92,0,0,0,0.00
ABVC,0.00,0.00,2020-10-20,4.10,"10/20/20 ABVC QR: Cash , burn . ABVC finds promising early-stage therapies at research institutions and helps them develop it in order to out-license it to a larger pharma company. Some of their candidates are interesting (Vitargus ABV-1701) but everything is phase 2 or below so all they have on their website is early safety data. I'll speak with Dr. Doong on Monday, Oct 26 to see what they say, but this seems too early stage to write a bullish article on or bet big on. Pass.'\n''\n'CATALYSTS:'\n''\n'VALUATION: '\n'2021 EPS avg '\n'price'\n'fwd PE'\n''\n'LIQUIDITY:'\n'as of 6/30/20'\n'current debt M'\n'long-term debt M'\n'
SEASONALITY:'\n''\n'SUMMARY:'\n''\n'EVENTS:'\n''\n'PIPELINE:'\n''\n''\n'Vitargus ABV-1701 (vitreous substitute post-vitrectomy): After a vitrectomy patients sometimes require a vitreous substitute to fill up some of the vacant space in the eye in order to help it retain its round form and retinal location. Current therapies have inconvenient drawbacks such as requiring patients to lie face down for a week (because the substance is less dense than water) or have a second surgery. Vitargus eliminates these problems.'\n''\n'GLOSSARY:'\n''\n'SOURCES:'\n''\n'",,3,6,0.00,4.10,0,0,0,0.00
